,Reference Number,Artist,Title
0,18.11.022.ITAL 2,Creed,With Arms Wide Open
1,13.40.11.EURO,Aqua,Barbie Girl
2,11.50.11.EURO 1,Blink-182,First Date
3,10.47.12.EURO 1,Baha Men,Who Let The Dogs Out
4,15.44.09.ITAL 1,Blink-182,Adam's Song
5,13.46.05.EURO,Blink-182,All The Small Things
6,13.43.02.EURO,Chef,Chocolate Salty Balls
7,11.42.12.EURO,Cher,Believe
8,12.40.10.EURO,Chumbawamba,Tubthumping
9,19.44.03.ITAL 2,Eiffel 65,Move Your Body
10,11.47.01.EURO 1,Eminem,Stan
11,11.46.08.EURO 1,Eminem,The Real Slim Shady
12,10.46.07.EURO 1,Dr. Dre feat. Eminem,Forget About Dre
13,10.44.09.EURO,Eminem feat. Dr. Dre,Guilty Conscience
14,11.44.10.EURO,Enrique Iglesias,Bailamos
15,19.48.08.ITAL 2,Iron Maiden,The Wicker Man
16,18.19.12.ITAL 2,Iron Maiden,Out Of The Silent Planet
17,13.47.10.EURO 1,Kid Rock,American Bad Ass
18,19.48.08.ITAL 2,Korn,Make Me Bad
19,17.98.01 ITAL 1,Limp Bizkit,Nookie
20,19.44.03.ITAL 2,Lou Bega,Mambo No. 5 (A Little Bit Of...)
21,13.45.12.EURO,Marc Anthony,I Need To Know
22,11.50.11.EURO 1,Marilyn Manson,The Nobodies
23,18.19.12.ITAL 2,Megadeth,Crush 'Em
24,12.41.03.EURO,Metallica,Unforgiven II
25,17.36.11.ITAL 1,Ricky Martin,Livin' La Vida Loca
26,12.41.03.EURO,Shania Twain,You're Still The One
27,10.46.07.EURO 1,Sia,Taken For Granted
28,14.64.12.EURO,Smash Mouth,Walkin' On The Sun
29,11.50.11.EURO 1,The Cranberries,Analyse
30,13.43.02.EURO,The Offspring,Pretty Fly (For A White Guy)
31,14.68.08.EURO,Will Smith feat. Dru Hill,Wild Wild West
32,14.71.11.EURO 1,Zombie Nation,Kernkraft 400
33,11.50.11.EURO 1,Björk,Hidden Place
34,17.02.06.ITAL 2,Santana feat. Rob Thomas,Smooth
